use_for_sf,use_for_wp,year,is_data,nick_name,n_das,n_pnfs,pnfs_sum_of_weights,xs_gen,xs_theo,xml_path
True,False,UL17,False,QCD_Mu_Pt800to1000,16995944,16995944,-,3.289,-,UL17/PuppiV15/QCD_Pt-800to1000_MuEnrichedPt5_CP5_RunIISummer19UL17MiniAOD-106X_mc2017_realistic_v6-v2.xml
True,False,UL17,False,QCD_Mu_Pt1000toInf,14719636,14719636,-,1.087,-,UL17/PuppiV15/QCD_Pt-1000toInf_MuEnrichedPt5_CP5_RunIISummer19UL17MiniAOD-106X_mc2017_realistic_v6-v2.xml

False,True,UL17,False,QCD_HT300to500,57191140,57191140,-,323300.000,-,UL17/PuppiV15/QCD_HT300to500_CP5_RunIISummer19UL17MiniAOD-106X_mc2017_realistic_v6-v2.xml
False,True,UL17,False,QCD_HT500to700,67068427,67068427,-,30000.000,-,UL17/PuppiV15/QCD_HT500to700_CP5_RunIISummer19UL17MiniAOD-106X_mc2017_realistic_v6__COMBINED.xml
False,True,UL17,False,QCD_HT700to1000,45812757,45812757,-,6324.000,-,UL17/PuppiV15/QCD_HT700to1000_CP5_RunIISummer19UL17MiniAOD-106X_mc2017_realistic_v6-v2.xml
False,True,UL17,False,QCD_HT1000to1500,15346629,15346629,-,1090.000,-,UL17/PuppiV15/QCD_HT1000to1500_CP5_RunIISummer19UL17MiniAOD-106X_mc2017_realistic_v6-v2.xml
False,True,UL17,False,QCD_HT1500to2000,10598209,10598209,-,101.000,-,UL17/PuppiV15/QCD_HT1500to2000_CP5_RunIISummer19UL17MiniAOD-106X_mc2017_realistic_v6-v2.xml
False,True,UL17,False,QCD_HT2000toInf,5457021,5457021,-,20.430,-,UL17/PuppiV15/QCD_HT2000toInf_CP5_RunIISummer19UL17MiniAOD-106X_mc2017_realistic_v6-v2.xml


True,True,UL18,False,TTbarToHadronic,124421000,124421000,39056799288,687.100,380.094,UL18/PuppiV15/TTToHadronic_CP5_RunIISummer19UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2.xml

False,True,UL18,False,QCD_HT300to500,55135074,55135074,-,323300.000,-,UL18/PuppiV15/QCD_HT300to500_CP5_RunIISummer19UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2.xml
False,True,UL18,False,QCD_HT500to700,58487165,58487165,-,30000.000,-,UL18/PuppiV15/QCD_HT500to700_CP5_RunIISummer19UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2.xml
False,True,UL18,False,QCD_HT700to1000,47703400,47703400,-,6324.000,-,UL18/PuppiV15/QCD_HT700to1000_CP5_RunIISummer19UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2.xml
False,True,UL18,False,QCD_HT1000to1500,15675643,15675643,-,1090.000,-,UL18/PuppiV15/QCD_HT1000to1500_CP5_RunIISummer19UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2.xml
False,True,UL18,False,QCD_HT1500to2000,10612885,10612885,-,101.000,-,UL18/PuppiV15/QCD_HT1500to2000_CP5_RunIISummer19UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2.xml
False,True,UL18,False,QCD_HT2000toInf,4504262,4504262,-,20.430,-,UL18/PuppiV15/QCD_HT2000toInf_CP5_RunIISummer19UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2.xml
